Name,AveragePay
Agricultural Market Reporting,79011.56
Misc General Services And Support Work,33683.54
Pse Ml Pro Clk-hol,32010
General Anthropology,91450.26
Fabric Working,63435.26
Marine Machinery Mechanic,57903.97
Horticulture,84559.73
Mining Engineering,90832.52
Transportation Industry Analysis,116539.32
Business Dev Spec,65847.63
Mgr Maintenance,80457.54
Pers Pro Asoc Temp,34529
Locksmithing,54483.17
Sheet Metal Mechanic,60872.01
Hr Specialist,66050.61
Exprs Mail Srvc Clk,57873.59
Mgr Cust Svc Ops,70980.92
Distribution Facilities & Storage Manage,73204.83
Occup Health Nurse,67998.59
Garageman,52951.55
Pse Tr Trail Opr Nw,41894.88
Holiday Clerk Asst,32010
"Rcv Ck, Frgn Air Ml",56894.47
Instrument Mechanic,45164.6
Maint Eng Spec,77219.29
Employee Benefits Law,113313.69
Cemetery Administration Services,81289.68
Clk Veh Disp,56416.45
Cptr Sys Develpr Sr,88804.75
Mail Flow Cntrlr,57183.28
Small Craft Operating,53365.59
Clrk/spcl Dlvry Msg,56319.78
Mgr Maint Ops,81296.51
Housing Management,64266.31
Sales Exec Sr Ship,68750.75
Field Sales Rep Sr,68115.6
Postage Due Clk,56669.06
Sfs Clerk,52408
Mgr Trans Netwrks,73765.78
Medical Equipment Repairing,56855.85
Eeo Adr Specialist,74108.12
Mathematics And Statistics Student Train,42573.43
Food Technology,109034.57
Cust Rel Coord,66859.55
Irrigation System Operation,40529.59
Education Services,63270.65
Animal Science,103410.95
Veh Oper Maint Asst,57722.96
Education Research,111384.25
Work Unit Supervising,65423.38
Area Maint Spec,58882.56
Document Analysis,106845.88
Electrical Equipment Repairer,60505.82
Process Cntrl Asst,65828.13
Mgr Maint Ops Supp,79385.73
Flat Srt Mchn Opr,53619.35
Insects Production Working,34675.2
Pest Controlling,51970.19
Information And Arts Student Trainee,36833.17
Retail Specialist,63498.33
Apprenticeship And Training,93762.9
Industrial Specialist,108063.57
Zoology,120599.18
Offset Press Operating,80798.54
Acct & Con Spec,67379.91
Miscellaneous Vessel Jobs,38374.41
Wood Crafting,59998.69
Clerk Mail Rec Ctr,56869.68
Broadcasting Equipment Operating,92400.83
Ltr Box Mech(mes),58992.16
Miscellaneous Metal Work,59212.86
Misc Industrial Equipment Operation,62800.03
Plant Mgr,54074.56
Network Oper Anlyst,82744.57
City Car Asst Tech1,33720.61
Supv Stat Programs,67014.96
Sewing Machine Operating,37170.16
Mgr Human Resources,30184
Bookbinding,91486.16
Mgr Po Operations,48678.81
Admin Assistant,58345.22
Prog Mgr Info Tech,27905.12
Aircraft Mechanic,55062.03
Production Machinery Mechanic,62330.53
Misc Industrial Equipment Maintenance,68762.63
Industrial Property Management,92195.76
Water Treatment Plant Operating,60470.48
Supv Cust Care Ctr,71199.01
Automotive Mech,50671.91
Laundry Operations Services,64930.03
Sales Exec Sr Mail,71202.84
Mgr Maint Ops Suppt,81857.86
Mgr Bus Mail Entry,76350.45
Ops Ind Engr Field,71784.54
Mgr Sales District,58614.12
Unemployment Insurance,99240.52
Field Recruiter,70929.52
Tacs Support Spclst,63177.94
Miscellaneous Occupations,54588.81
Acct Spec (p),64631.17
Architect/engineer,75920.21
Mgr In-plant Suppor,42658.03
Investigation Student Trainee,35025.63
Military Pay,47234.32
Civil Rights Analysis,111599.47
Mgr Main Engr Supt,82261.02
Hr Generlst (prin),82025.68
Human Resources Spe,64819.35
Mgr Learn Dvlp Divr,80408.52
Mgr Csmr Ind Conct,77662.03
Lab Rel Spec Area,56918.38
Mgr Hrm (dist),80078.97
Bud/fin Anlyst Dist,74119.16
Mgr Fin (dist),35488.33
Mgr Info Systms,62694.25
Dist Comp Coord,84920.16
Safety Technician,51449.18
Mgr Rtl (dist),76740.37
Mgr Maint (lead),54300.18
Rural Carr Relief,50452.97
Mailing Stand.spec.,63038.1
Sales Exec,72134.77
General Equipment Mechanic,57823.57
Mgr Fin Prgms Comp,81934.62
Cptr Anlst/prg Assc,66843.66
Mgr Add Mgmt Syst,76187.05
Production Control,73735.22
Mgr Safety,79029.53
Mgr In-plant Supprt,67742.26
Mgr Labor Relations,82863.86
Mgr Fld Main Opr Ld,77289.96
Mgr Opertns Progs,41732.19
Workforce Research And Analysis,99825.79
Editorial Assistance,51109.63
Seaman-fisherman,44302.78
Postmaster (g),27861.69
Prdct Info Qlty An,66218.67
"Ofc Clk, Vehl Oprn",55875.73
Transfer Clk Amf,57636.2
Clms&inquiry Clk,56879.59
Del Sals Svcs Dist,49573.15
Cust Suppt Spec Pdc,61892.37
Correspondence Clerk,40594.06
Environmental Protection Assistant,51795.58
Naval Architecture,113545.28
Bus Systms Analyst,59997.36
Geodesy,115843.81
Tree Trimming And Removing,59539.1
Admin Clk Vmf,57987
General Telecommunications,43540.14
Mgr Del/cs Programs,81642.02
Sr Bsn Spec (area),73108.16
Air Safety Investigating,122594.57
"Misc Laundry, Dry Cleaning, And Pressing",49470.24
G/ldr Data Cnv Opr,52555.88
Acct Supp Spec,63965.59
Tools And Parts Attending,44415.48
Cca Holiday Term,33048.24
Staffing Specialist,73481.08
Rigging,58403.41
Custodial Laborer C,53965.04
Agricultural Warehouse Inspection Series,74831.42
Supv Cptr Mail Frwd,67472.42
Sewage Disposal Plant Operating,56711.45
Illustrating,73042.28
Public Health Educator,100113.32
Miscellaneous Woodwork,61845.9
Lead Cust Care Agt,59049.68
Packaging Machine Operating,54758.35
Acct Tech,61216.09
Distribution Clerk,56781.8
Able Seaman,40538.82
Clerk-typist,37674.87
Legal Admin Assista,54260.09
Acct & Con Spec Sr,72540.79
Maint Electrician,59364.49
Psegarageman,30085
Crane Operating,61641.02
Ops Prog Anlyst (a),63935.83
Sr Mgr Dist Oper,36299.98
Drill Rig Operating,54007
Coin/currency Checking,57404.93
Bus Proj Leader,37110.24
Paralegal Spec,67276.22
Database Admin,15255.38
Mail Processor,56926.35
Spec Pstl Clk,57579.95
Mgr Veh Maint Fac,78649.92
Air Records Proc,57582.23
Clerk Stenographer,56768.41
Marine Survey Technical,113967.05
Prescription Eyeglass Making,47884.29
Facilities Engineer,73402.58
Painter,59147.38
Highway Tran Clk,57536.32
Elevator Mechanic,67615.65
Sr Bud/fin Analyst,67701.73
Strategic Acct Mgr,63886.11
Busi Alliance Spec,71156.39
Field Account Rep,69671.86
Supply Center Clerk,52886.72
Sign Painting,54024.66
Heating & Boiler Plant Equipmt Mechanic,58435.94
Laboratory Working,37476.57
Lock And Dam Operating,52894.71
Sanitarian,73191.97
Cust Svc Clk Sfs,54153.26
Fuel Distribution System Operating,60995
Fork Lift Operating,47943.94
Supv Maint Oper Sup,72018.53
Mailpce Dsgn Anlyst,65998.39
Insurance Examining,116565.09
Pse S&s/d Assoc Nw,32010
General Mathematics And Statistics,138937.39
Intelligence Aid And Clerk,54299.88
Vehicle Dispatcher,59009.13
Mgr Marketing-dist,45462.75
Commnctn Prgms Spcl,62820.34
Mtls Hndl Eq Opr,54791.38
Sales Perform Analy,68216.13
Mgr In-plant Suppt,72337.68
Miscellaneous Aircraft Overhaul,63025.39
Trainng Instructor,75788
Misc Electronic Equipmt Install & Maintn,94191.23
Mgr Vehicle Ops,83553.43
Eeo Svc Analyst,65926.13
Financial Analyst,48566.3
Exec Admin Assist,67464.67
International Cooperation,109723.53
Heat Treating,59772.13
Misc Transportation/mobile Equipmt Maint,62829.2
Freight Rate,56458.45
Nuclear Medicine Technician,76682.07
Stationary-engine Operating,8361.88
Platemaking,80445.39
Shipfitting,59924.54
Patent Classifying,141060.18
Laundry & Dry Cleaning Equipmt Repairing,55698.04
Assignment Clk,57987
Dist Mgr (2),60225.18
Schemes&schl Clk,57987
Textile Technology,94789.15
Mgr. Marketing (dis,55666.59
Operations Speclst,35626.44
Maintenance Mechan,56103
Cptr Prod Supt Tech,69459.96
Sply Chain Plnr,68958.7
Welder,59245
Boat Building And Repairing,54528.62
It Clnt Supt Spec,69005.08
Sociology,99124
Farming,43115.31
Toolmaking,66670.35
Facility Maintenanc,58657.58
Postmaster (2),23967.81
Supv Acctg Svc Ctr,80993.72
Dist Mgr (1),71378.12
Mte Qual Examiner,69050.2
Second Cook,36325.71
Sr Sys Acct Pdc,80296.58
